backbone,arm_id,arm_name,seed,trainable_parameters,total_parameters,wall_clock_seconds,n_train_examples,n_train_pos,n_train_neg,val_mrr,val_top1,val_top3,val_ndcg,val_auprc,val_ece,val_brier,test_mrr,test_top1,test_top3,test_ndcg,test_auprc,test_ece,test_brier
chemformer,A2,random_corruption,20260726,180737,19363937,26.26,788,394,394,0.462418,0.215686,0.588235,0.593811,0.241536,0.380127,0.252898,0.390303,0.127273,0.454545,0.538723,0.190301,0.379958,0.253035
chemformer,A2,random_corruption,20260727,180737,19363937,44.48,788,394,394,0.464379,0.235294,0.568627,0.59419,0.222741,0.383161,0.253216,0.393636,0.127273,0.472727,0.541,0.204234,0.3829,0.253417
chemformer,A2,random_corruption,20260728,180737,19363937,40.39,788,394,394,0.483987,0.235294,0.647059,0.610249,0.263275,0.419159,0.282107,0.368788,0.072727,0.509091,0.522911,0.191517,0.4188,0.282441
chemformer,A2,random_corruption,20260729,180737,19363937,44.02,788,394,394,0.427778,0.176471,0.588235,0.56735,0.221838,0.440727,0.302058,0.374848,0.072727,0.509091,0.527922,0.173017,0.440689,0.302329
chemformer,A2,random_corruption,20260730,180737,19363937,26.84,788,394,394,0.50098,0.235294,0.705882,0.624006,0.255854,0.348375,0.229573,0.474848,0.218182,0.654545,0.603263,0.268558,0.348114,0.229505
chemformer,A3,tanimoto_retrieval,20260721,180737,19363937,42.84,788,394,394,0.219421,0.019608,0.078431,0.399986,0.08889,0.374226,0.249965,0.227424,0.018182,0.109091,0.406792,0.096511,0.374158,0.249664
chemformer,A3,tanimoto_retrieval,20260722,180737,19363937,25.16,788,394,394,0.417204,0.215686,0.431373,0.554882,0.169575,0.419745,0.28554,0.426126,0.2,0.490909,0.563633,0.170062,0.419737,0.285518
chemformer,A3,tanimoto_retrieval,20260723,180737,19363937,43.29,788,394,394,0.232096,0.058824,0.058824,0.408048,0.086271,0.410845,0.278624,0.259848,0.090909,0.109091,0.429596,0.093572,0.410856,0.278464
chemformer,A3,tanimoto_retrieval,20260724,180737,19363937,42.5,788,394,394,0.203758,0.0,0.058824,0.388325,0.088704,0.413309,0.280688,0.213788,0.0,0.090909,0.396768,0.095427,0.413163,0.280365
chemformer,A3,tanimoto_retrieval,20260725,180737,19363937,26.08,788,394,394,0.389449,0.117647,0.490196,0.537039,0.151157,0.361595,0.240032,0.366558,0.090909,0.490909,0.519383,0.153549,0.361371,0.23985
chemformer,A3,tanimoto_retrieval,20260726,180737,19363937,34.16,788,394,394,0.458543,0.235294,0.568627,0.588253,0.17183,0.390745,0.262019,0.445823,0.218182,0.545455,0.578353,0.185827,0.390796,0.262048
chemformer,A3,tanimoto_retrieval,20260727,180737,19363937,42.77,788,394,394,0.288422,0.117647,0.156863,0.452234,0.091336,0.369925,0.246432,0.339784,0.163636,0.272727,0.49258,0.099268,0.369916,0.24633
