config_id,config_name,seed,trainable_parameters,total_parameters,param_ratio,wall_clock_seconds,peak_memory_mb,inference_latency_ms,val_mrr,val_top1,val_top3,val_ndcg,val_ece,val_brier,test_mrr,test_top1,test_top3,test_ndcg,test_ece,test_brier
C1,zero_shot_frozen,20260721,131585,19314785,0.006813,11.33,164.57,8.9359,0.21802054154995332,0.0,0.19607843137254902,0.39964161635175166,0.404596,0.273103,0.21244588744588744,0.0,0.18181818181818182,0.3950037653370638,0.404563,0.273077
C1,zero_shot_frozen,20260722,131585,19314785,0.006813,8.33,162.23,9.4452,0.34799253034547145,0.09803921568627451,0.43137254901960786,0.5037577375734057,0.368071,0.244818,0.43077922077922065,0.2,0.509090909090909,0.567492866371506,0.368051,0.244793
C1,zero_shot_frozen,20260723,131585,19314785,0.006813,8.22,162.23,8.6639,0.2009570494864612,0.0,0.11764705882352941,0.38579414755470404,0.393701,0.264439,0.19378787878787881,0.0,0.07272727272727272,0.378881155608075,0.393633,0.264403
C2,lora_baseline_ffn,20260721,377345,19560545,0.019291,280.35,867.8,6.712,0.3464519140989729,0.09803921568627451,0.5098039215686274,0.5023312564289256,0.197117,0.169024,0.4177705627705626,0.18181818181818182,0.6,0.5581269488474804,0.215324,0.172389
C2,lora_baseline_ffn,20260722,377345,19560545,0.019291,312.82,874.65,9.813,0.35690943043884227,0.09803921568627451,0.47058823529411764,0.5121701623770573,0.186126,0.162682,0.441082251082251,0.16363636363636364,0.6181818181818182,0.5780641895794979,0.192119,0.169583
C2,lora_baseline_ffn,20260723,377345,19560545,0.019291,308.51,874.65,9.9593,0.36979458450046687,0.058823529411764705,0.5686274509803921,0.5243465583207836,0.208156,0.162589,0.4338095238095237,0.18181818181818182,0.5818181818181818,0.5716951435201946,0.206036,0.170311
C3,lora_attention,20260721,180737,19363937,0.009334,181.4,197.41,9.1174,0.39577497665732947,0.13725490196078433,0.5490196078431373,0.5421368303766836,0.300614,0.199443,0.4932034632034631,0.2,0.7272727272727273,0.6192258879637091,0.301188,0.199615
C3,lora_attention,20260722,180737,19363937,0.009334,181.94,197.41,9.2875,0.39089635854341725,0.11764705882352941,0.5882352941176471,0.5391708761458074,0.297062,0.197328,0.43653679653679633,0.16363636363636364,0.6181818181818182,0.5749845323464388,0.297677,0.197515
C3,lora_attention,20260723,180737,19363937,0.009334,178.79,197.41,9.0986,0.41213818860877677,0.1568627450980392,0.5098039215686274,0.5544486529085461,0.302828,0.200693,0.48575757575757567,0.2727272727272727,0.5636363636363636,0.6105175166492688,0.303509,0.200959
C4,lora_all_linear_r8,20260721,426497,19609697,0.021749,317.82,874.84,9.5062,0.2996965452847807,0.0196078431372549,0.49019607843137253,0.46775283187729516,0.189423,0.167574,0.4759090909090907,0.23636363636363636,0.6909090909090909,0.6040744539037947,0.207475,0.169282
C4,lora_all_linear_r8,20260722,426497,19609697,0.021749,282.72,874.84,9.3155,0.464892623716153,0.2549019607843137,0.5294117647058824,0.5939840893303348,0.18219,0.148042,0.43199134199134187,0.16363636363636364,0.5818181818181818,0.571109691349737,0.189349,0.150227
C4,lora_all_linear_r8,20260723,426497,19609697,0.021749,292.84,874.84,9.7179,0.3785014005602241,0.0784313725490196,0.5686274509803921,0.5300510191369062,0.204367,0.172177,0.44712121212121203,0.16363636363636364,0.6545454545454545,0.5832077404876559,0.220306,0.179488
C5,lora_all_linear_r16,20260721,721409,19904609,0.036243,318.91,879.85,9.9714,0.38209617180205413,0.09803921568627451,0.6470588235294118,0.5327142177753664,0.216533,0.157345,0.535151515151515,0.2909090909090909,0.7090909090909091,0.6501098427009065,0.224617,0.154264
C5,lora_all_linear_r16,20260722,721409,19904609,0.036243,299.07,879.85,9.6932,0.38305322128851527,0.11764705882352941,0.5294117647058824,0.5319403825176363,0.165061,0.153507,0.34108225108225093,0.05454545454545454,0.4727272727272727,0.5015326204291316,0.181741,0.15633
C5,lora_all_linear_r16,20260723,721409,19904609,0.036243,267.65,879.85,6.5031,0.3614612511671335,0.0784313725490196,0.5686274509803921,0.5167357039884468,0.217813,0.168979,0.3966666666666666,0.12727272727272726,0.5636363636363636,0.5433624945115022,0.212176,0.175692
C6,full_finetune,20260721,19314785,19314785,1.0,211.07,1208.39,3.3063,0.44460784313725477,0.17647058823529413,0.6470588235294118,0.580471003256913,0.314859,0.208508,0.5709090909090907,0.36363636363636365,0.7272727272727273,0.6763785480691018,0.314862,0.208507
C6,full_finetune,20260722,19314785,19314785,1.0,215.21,1209.99,4.2075,0.4540849673202614,0.1568627450980392,0.7058823529411765,0.5894051003531259,0.31378,0.207831,0.5289393939393938,0.2909090909090909,0.7272727272727273,0.6450716222213165,0.313785,0.207834
C6,full_finetune,20260723,19314785,19314785,1.0,281.0,1209.99,5.7234,0.441830065359477,0.17647058823529413,0.5882352941176471,0.5783938115862367,0.307221,0.204195,0.525151515151515,0.2727272727272727,0.7090909090909091,0.6426026791142265,0.31587,0.205863
