backbone,arm_id,arm_name,seed,trainable_parameters,total_parameters,wall_clock_seconds,peak_memory_mb,inference_latency_ms,n_train_examples,n_train_pos,n_train_neg,val_mrr,val_top1,val_top3,val_ndcg,val_auprc,val_ece,val_brier,test_mrr,test_top1,test_top3,test_ndcg,test_auprc,test_ece,test_brier
gnn,A4,template_perturbation,20260727,187265,187265,6.4,29.84,4.9101,788,394,394,0.410458,0.117647,0.705882,0.556394,0.231117,0.306517,0.248823,0.45697,0.2,0.672727,0.590789,0.279174,0.300212,0.249325
gnn,A4,template_perturbation,20260728,187265,187265,6.32,29.84,3.3421,788,394,394,0.414052,0.117647,0.647059,0.55917,0.234809,0.312113,0.252271,0.498182,0.272727,0.636364,0.621464,0.291523,0.305308,0.252447
gnn,A4,template_perturbation,20260729,187265,187265,10.22,29.84,6.4186,788,394,394,0.42451,0.117647,0.666667,0.567371,0.230668,0.283161,0.238142,0.470909,0.218182,0.636364,0.601333,0.283066,0.288535,0.242116
gnn,A4,template_perturbation,20260730,187265,187265,8.93,29.84,4.0179,788,394,394,0.418954,0.117647,0.666667,0.563096,0.235871,0.311329,0.251835,0.48,0.236364,0.672727,0.608184,0.293312,0.306599,0.252779
gnn,A5,unconstrained_edit,20260721,187265,187265,6.04,29.84,5.08,788,394,394,0.428105,0.156863,0.568627,0.567552,0.191202,0.630834,0.553268,0.421818,0.145455,0.563636,0.563056,0.185714,0.621541,0.546562
gnn,A5,unconstrained_edit,20260722,187265,187265,8.44,29.84,4.9626,788,394,394,0.412932,0.117647,0.705882,0.557902,0.200056,0.769139,0.746766,0.408788,0.127273,0.636364,0.553698,0.202121,0.759339,0.736906
gnn,A5,unconstrained_edit,20260723,187265,187265,7.91,29.84,5.6945,788,394,394,0.401494,0.117647,0.607843,0.548538,0.192734,0.775834,0.756937,0.43697,0.145455,0.690909,0.575863,0.20928,0.766689,0.747665
gnn,A5,unconstrained_edit,20260724,187265,187265,9.94,29.84,6.4191,788,394,394,0.365546,0.058824,0.607843,0.521693,0.183921,0.784004,0.769839,0.420606,0.127273,0.672727,0.563121,0.209993,0.774131,0.759583
gnn,A5,unconstrained_edit,20260725,187265,187265,5.67,29.84,2.4209,788,394,394,0.365033,0.058824,0.54902,0.52061,0.175715,0.678609,0.615662,0.355455,0.072727,0.472727,0.512462,0.152671,0.671856,0.61154
gnn,A5,unconstrained_edit,20260726,187265,187265,6.31,29.84,6.5419,788,394,394,0.362745,0.058824,0.54902,0.518902,0.182017,0.686424,0.626282,0.36303,0.054545,0.545455,0.518961,0.180582,0.677875,0.619667
gnn,A5,unconstrained_edit,20260727,187265,187265,9.36,29.84,2.6083,788,394,394,0.414566,0.137255,0.647059,0.558493,0.208823,0.78592,0.772584,0.442424,0.145455,0.672727,0.58016,0.206439,0.776792,0.763106
gnn,A5,unconstrained_edit,20260728,187265,187265,8.23,29.84,6.8187,788,394,394,0.463399,0.196078,0.686275,0.595959,0.199198,0.746091,0.711361,0.445758,0.127273,0.709091,0.583929,0.217224,0.738092,0.704037
gnn,A5,unconstrained_edit,20260729,187265,187265,6.13,29.84,5.3086,788,394,394,0.433007,0.156863,0.627451,0.572521,0.220604,0.686752,0.62618,0.433636,0.145455,0.654545,0.573352,0.260442,0.679899,0.62135
gnn,A5,unconstrained_edit,20260730,187265,187265,5.37,29.84,3.1787,788,394,394,0.366503,0.058824,0.647059,0.522343,0.181364,0.660927,0.591745,0.391212,0.054545,0.672727,0.542087,0.185823,0.652789,0.585854
gnn,A6,rule_pc_cng,20260721,187265,187265,6.83,29.84,6.5614,788,394,394,0.432353,0.156863,0.568627,0.570978,0.195105,0.627437,0.549009,0.430909,0.163636,0.563636,0.569766,0.188645,0.618115,0.542373
gnn,A6,rule_pc_cng,20260722,187265,187265,6.24,29.84,4.4831,788,394,394,0.406396,0.117647,0.666667,0.552616,0.20446,0.633433,0.556694,0.400303,0.127273,0.581818,0.54674,0.197978,0.622741,0.548661
gnn,A6,rule_pc_cng,20260723,187265,187265,8.31,29.84,8.5746,788,394,394,0.399533,0.117647,0.647059,0.546971,0.194699,0.727419,0.684397,0.426364,0.127273,0.618182,0.567518,0.202341,0.717724,0.675373
gnn,A6,rule_pc_cng,20260724,187265,187265,10.22,29.84,4.8874,788,394,394,0.354762,0.039216,0.647059,0.513749,0.180857,0.721476,0.676211,0.394848,0.090909,0.636364,0.543445,0.190136,0.710735,0.666249
gnn,A6,rule_pc_cng,20260725,187265,187265,6.37,29.84,2.4862,788,394,394,0.379412,0.078431,0.54902,0.531532,0.170773,0.660455,0.591356,0.371212,0.090909,0.527273,0.524537,0.155766,0.654058,0.587942
gnn,A6,rule_pc_cng,20260726,187265,187265,8.77,29.84,4.2006,788,394,394,0.378431,0.078431,0.627451,0.531328,0.187283,0.728303,0.68563,0.373939,0.054545,0.545455,0.527696,0.18203,0.719289,0.67774
gnn,A6,rule_pc_cng,20260727,187265,187265,10.17,29.84,4.616,788,394,394,0.415219,0.156863,0.588235,0.558226,0.207216,0.740624,0.70381,0.440909,0.145455,0.690909,0.57904,0.210085,0.730558,0.694042
gnn,A6,rule_pc_cng,20260728,187265,187265,6.45,29.84,4.4714,788,394,394,0.45719,0.176471,0.764706,0.59185,0.21606,0.670041,0.603666,0.465758,0.2,0.672727,0.59794,0.253844,0.662997,0.59867
gnn,A6,rule_pc_cng,20260729,187265,187265,6.49,29.84,3.7846,788,394,394,0.436275,0.156863,0.666667,0.575239,0.219337,0.667824,0.60054,0.429091,0.145455,0.636364,0.569711,0.262589,0.661144,0.596185
gnn,A6,rule_pc_cng,20260730,187265,187265,8.04,29.84,2.4578,788,394,394,0.363889,0.039216,0.666667,0.520741,0.18109,0.740593,0.703454,0.386667,0.054545,0.690909,0.538586,0.18637,0.732295,0.696113
