backbone,arm_id,arm_name,seed,trainable_parameters,total_parameters,wall_clock_seconds,peak_memory_mb,inference_latency_ms,n_train_examples,n_train_pos,n_train_neg,val_mrr,val_top1,val_top3,val_ndcg,val_auprc,val_ece,val_brier,test_mrr,test_top1,test_top3,test_ndcg,test_auprc,test_ece,test_brier
chemformer,A2,random_corruption,20260724,180737,19363937,39.13,365.3,107.3455,788,394,394,0.376517,0.137255,0.470588,0.526512,0.149875,0.401954,0.2708,0.464545,0.218182,0.581818,0.595054,0.197123,0.402195,0.270881
chemformer,A2,random_corruption,20260725,180737,19363937,41.75,365.3,60.4371,788,394,394,0.393487,0.137255,0.509804,0.540362,0.173017,0.35955,0.238446,0.467879,0.218182,0.636364,0.598376,0.21821,0.360051,0.238708
chemformer,A2,random_corruption,20260726,180737,19363937,34.64,365.3,65.04,788,394,394,0.464869,0.254902,0.529412,0.593186,0.17514,0.360505,0.239199,0.493506,0.272727,0.618182,0.616038,0.212301,0.360842,0.239393
chemformer,A2,random_corruption,20260727,180737,19363937,21.96,365.3,83.2586,788,394,394,0.377684,0.117647,0.509804,0.527434,0.165247,0.346665,0.229414,0.457316,0.218182,0.563636,0.588582,0.236267,0.347075,0.229643
chemformer,A2,random_corruption,20260728,180737,19363937,21.04,365.3,68.4183,788,394,394,0.421148,0.156863,0.607843,0.560933,0.150001,0.398545,0.268172,0.371818,0.090909,0.527273,0.524483,0.159745,0.398684,0.268262
chemformer,A2,random_corruption,20260729,180737,19363937,20.09,365.3,65.0124,788,394,394,0.401167,0.156863,0.54902,0.545396,0.152331,0.360413,0.239181,0.441818,0.163636,0.6,0.579141,0.208819,0.360574,0.239201
chemformer,A2,random_corruption,20260730,180737,19363937,33.94,365.3,70.2951,788,394,394,0.399673,0.137255,0.529412,0.545045,0.157402,0.382173,0.255326,0.43,0.181818,0.545455,0.569131,0.201987,0.382438,0.255482
chemformer,A3,tanimoto_retrieval,20260721,180737,19363937,26.69,365.3,82.8451,788,394,394,0.393581,0.137255,0.588235,0.539529,0.155576,0.354205,0.234657,0.429091,0.145455,0.636364,0.569305,0.201812,0.354484,0.234553
chemformer,A3,tanimoto_retrieval,20260722,180737,19363937,21.06,365.3,74.2031,788,394,394,0.390266,0.137255,0.529412,0.535747,0.156085,0.354673,0.235147,0.395476,0.163636,0.454545,0.540268,0.170384,0.354828,0.235226
chemformer,A3,tanimoto_retrieval,20260723,180737,19363937,14.8,365.3,69.2827,788,394,394,0.382446,0.176471,0.45098,0.527073,0.161311,0.390751,0.262069,0.409892,0.163636,0.527273,0.551845,0.199038,0.390817,0.262079
chemformer,A3,tanimoto_retrieval,20260724,180737,19363937,24.66,365.3,66.3794,788,394,394,0.385341,0.137255,0.470588,0.531992,0.136993,0.411293,0.278514,0.399134,0.127273,0.563636,0.544702,0.162179,0.411329,0.278389
chemformer,A3,tanimoto_retrieval,20260725,180737,19363937,25.22,365.3,69.0732,788,394,394,0.281933,0.058824,0.372549,0.450338,0.129615,0.365837,0.243272,0.247576,0.0,0.218182,0.425142,0.111925,0.365789,0.243198
chemformer,A3,tanimoto_retrieval,20260726,180737,19363937,28.78,365.3,63.9617,788,394,394,0.394981,0.156863,0.490196,0.539005,0.16508,0.375493,0.250312,0.386234,0.127273,0.490909,0.534322,0.177774,0.37598,0.25056
chemformer,A3,tanimoto_retrieval,20260727,180737,19363937,14.91,365.3,67.8369,788,394,394,0.40915,0.215686,0.470588,0.548018,0.171869,0.350214,0.232002,0.433506,0.236364,0.472727,0.567771,0.195888,0.350332,0.232073
chemformer,A3,tanimoto_retrieval,20260728,180737,19363937,20.44,365.3,63.289,788,394,394,0.359407,0.137255,0.411765,0.510886,0.136433,0.310984,0.206098,0.350671,0.109091,0.454545,0.506175,0.135141,0.311051,0.20611
chemformer,A3,tanimoto_retrieval,20260729,180737,19363937,20.22,365.3,71.0045,788,394,394,0.405649,0.156863,0.54902,0.54774,0.150721,0.3812,0.254648,0.422294,0.145455,0.563636,0.562953,0.166413,0.381407,0.254716
chemformer,A3,tanimoto_retrieval,20260730,180737,19363937,15.3,365.3,55.8008,788,394,394,0.262838,0.039216,0.27451,0.435774,0.116649,0.349779,0.231838,0.242835,0.036364,0.181818,0.417903,0.103823,0.349522,0.231723
chemformer,A4,template_perturbation,20260721,180737,19363937,21.41,365.3,68.4527,788,394,394,0.426704,0.176471,0.568627,0.565082,0.177611,0.410243,0.277642,0.416082,0.181818,0.490909,0.556411,0.19143,0.410348,0.277718
chemformer,A4,template_perturbation,20260722,180737,19363937,15.37,365.3,59.1753,788,394,394,0.381162,0.176471,0.392157,0.525781,0.154057,0.417413,0.283605,0.318009,0.109091,0.309091,0.476373,0.138023,0.417417,0.283629
chemformer,A4,template_perturbation,20260723,180737,19363937,26.67,365.3,72.1871,788,394,394,0.349556,0.058824,0.54902,0.507607,0.14229,0.404369,0.272827,0.382424,0.109091,0.472727,0.533283,0.157148,0.40449,0.272896
chemformer,A4,template_perturbation,20260724,180737,19363937,26.57,365.3,72.803,788,394,394,0.417577,0.176471,0.568627,0.557146,0.161056,0.4153,0.281811,0.464545,0.218182,0.636364,0.595756,0.222545,0.415438,0.281876
chemformer,A4,template_perturbation,20260725,180737,19363937,27.74,365.3,74.3258,788,394,394,0.434641,0.215686,0.529412,0.569202,0.163782,0.409991,0.27742,0.434156,0.2,0.490909,0.570299,0.166969,0.410067,0.277437
chemformer,A4,template_perturbation,20260726,180737,19363937,27.23,365.3,66.4075,788,394,394,0.418464,0.156863,0.568627,0.559389,0.16105,0.367324,0.244187,0.448939,0.181818,0.581818,0.583513,0.204177,0.367652,0.244363
chemformer,A4,template_perturbation,20260727,180737,19363937,26.02,365.3,82.0089,788,394,394,0.388305,0.137255,0.490196,0.534727,0.174702,0.368855,0.245362,0.447186,0.218182,0.527273,0.58,0.212547,0.369124,0.245533
chemformer,A4,template_perturbation,20260728,180737,19363937,28.71,365.3,68.0311,788,394,394,0.359734,0.078431,0.568627,0.514473,0.140807,0.337124,0.222975,0.390325,0.109091,0.545455,0.538111,0.150706,0.337302,0.223065
chemformer,A4,template_perturbation,20260729,180737,19363937,15.7,365.3,74.0046,788,394,394,0.367834,0.098039,0.529412,0.520128,0.154059,0.363587,0.241515,0.438788,0.145455,0.654545,0.577238,0.198319,0.363733,0.241532
chemformer,A4,template_perturbation,20260730,180737,19363937,21.43,365.3,69.6487,788,394,394,0.265359,0.039216,0.254902,0.436417,0.119677,0.372397,0.248075,0.267078,0.054545,0.309091,0.437498,0.112936,0.372294,0.248012
chemformer,A5,unconstrained_edit,20260721,180737,19363937,19.87,365.3,80.2494,788,394,394,0.397899,0.117647,0.529412,0.544703,0.159275,0.408847,0.276386,0.456364,0.2,0.636364,0.589515,0.184718,0.409094,0.27656
