[P4-G8C] Loading data ...
[P4-G8C] train=496 val=496 test=496
[P4-G8C] stage=2 epoch=7 train_loss=0.9791 val_signal=1.9697
[P4-G8C] stage=3 epoch=0 train_loss=0.1767 val_signal=0.3310
[P4-G8C] stage=3 epoch=1 train_loss=0.4091 val_signal=0.0028
[P4-G8C] stage=3 epoch=2 train_loss=0.4716 val_signal=0.0018
[P4-G8C] stage=3 epoch=3 train_loss=0.4721 val_signal=0.0014
[P4-G8C] stage=3 epoch=4 train_loss=0.4696 val_signal=0.0013
[P4-G8C] stage=3 epoch=5 train_loss=0.4711 val_signal=0.0009
[P4-G8C] stage=3 epoch=6 train_loss=0.4690 val_signal=0.0010
[P4-G8C] stage=3 epoch=7 train_loss=0.4528 val_signal=0.0031
[P4-G8C] stage=4 epoch=0 train_loss=44444444128741512.0000 val_signal=0.0175
[P4-G8C] stage=4 epoch=1 train_loss=133333332386224544.0000 val_signal=0.1656
[P4-G8C] stage=4 epoch=2 train_loss=144444442559416448.0000 val_signal=0.0252
[P4-G8C] stage=4 epoch=3 train_loss=34482758079543084.0000 val_signal=0.0525
[P4-G8C] stage=4 epoch=4 train_loss=66666665620449960.0000 val_signal=0.0514
[P4-G8C] stage=4 epoch=5 train_loss=49999999215337472.0000 val_signal=0.1579
[P4-G8C] stage=4 epoch=6 train_loss=127777776154303968.0000 val_signal=0.2540
[P4-G8C] stage=4 epoch=7 train_loss=33333332810224980.0000 val_signal=0.1664
[P4-G8C] stage=1 epoch=0 train_loss=2.3407 val_signal=1.1886
[P4-G8C] stage=1 epoch=1 train_loss=1.7892 val_signal=1.6724
[P4-G8C] stage=1 epoch=2 train_loss=1.7218 val_signal=1.6274
[P4-G8C] stage=1 epoch=3 train_loss=1.5541 val_signal=1.4596
[P4-G8C] stage=1 epoch=4 train_loss=1.4786 val_signal=1.6587
[P4-G8C] stage=1 epoch=5 train_loss=1.2697 val_signal=2.5580
[P4-G8C] stage=1 epoch=6 train_loss=1.0521 val_signal=1.8725
[P4-G8C] stage=1 epoch=7 train_loss=1.0982 val_signal=2.4923
[P4-G8C] stage=2 epoch=0 train_loss=1.0643 val_signal=2.8284
[P4-G8C] stage=2 epoch=1 train_loss=0.9657 val_signal=2.7535
[P4-G8C] stage=2 epoch=2 train_loss=1.0560 val_signal=2.7090
[P4-G8C] stage=2 epoch=3 train_loss=1.0096 val_signal=2.3750
[P4-G8C] stage=2 epoch=4 train_loss=0.8978 val_signal=2.5594
[P4-G8C] stage=2 epoch=5 train_loss=0.9688 val_signal=4.5392
[P4-G8C] stage=2 epoch=6 train_loss=0.7418 val_signal=1.8864
[P4-G8C] stage=2 epoch=7 train_loss=0.8337 val_signal=2.8318
[P4-G8C] stage=3 epoch=0 train_loss=0.1368 val_signal=1.7760
[P4-G8C] stage=3 epoch=1 train_loss=0.1642 val_signal=0.3468
[P4-G8C] stage=3 epoch=2 train_loss=0.4129 val_signal=0.1160
[P4-G8C] stage=3 epoch=3 train_loss=0.4206 val_signal=0.0364
[P4-G8C] stage=3 epoch=4 train_loss=0.4545 val_signal=0.0252
[P4-G8C] stage=3 epoch=5 train_loss=0.3747 val_signal=0.0246
[P4-G8C] stage=3 epoch=6 train_loss=0.3586 val_signal=0.0182
[P4-G8C] stage=3 epoch=7 train_loss=0.3684 val_signal=0.0178
[P4-G8C] stage=4 epoch=0 train_loss=77777776938966496.0000 val_signal=0.2401
[P4-G8C] stage=4 epoch=1 train_loss=48387096014842712.0000 val_signal=0.1109
[P4-G8C] stage=4 epoch=2 train_loss=47619047280794480.0000 val_signal=0.0844
[P4-G8C] stage=4 epoch=3 train_loss=12345679242796146.0000 val_signal=0.1489
[P4-G8C] stage=4 epoch=4 train_loss=155172411357943872.0000 val_signal=0.1141
[P4-G8C] stage=4 epoch=5 train_loss=48387096014842712.0000 val_signal=0.1669
[P4-G8C] stage=4 epoch=6 train_loss=86021504765306160.0000 val_signal=0.0928
[P4-G8C] stage=4 epoch=7 train_loss=51724137119314624.0000 val_signal=0.0448
/home/cunyuliu/pc_cng_research/chem_negative_sampling/pc_cng/p4_g8c_learned_structured_proposal.py:1028: DeprecationWarning: `trapz` is deprecated. Use `trapezoid` instead, or one of the numerical integration functions in `scipy.integrate`.
  return float(np.trapz(precision, recall))

[P4-G8C] verdict=NO_GO
[P4-G8C] utility_delta=+0.0000 CI[+0.0000,+0.0000]
[P4-G8C] Pareto-dominates-rule=False coverage_matched=False
[P4-G8C] outputs in results/p4_learned_proposal
