[P4-G8C] Loading data ...
[P4-G8C] train=399 val=47 test=50
[P4-G8C] stage=2 epoch=7 train_loss=1.0957 val_signal=1000.0000
[P4-G8C] stage=3 epoch=0 train_loss=0.1500 val_signal=1000.0000
[P4-G8C] stage=3 epoch=1 train_loss=0.1325 val_signal=1000.0000
[P4-G8C] stage=3 epoch=2 train_loss=0.4175 val_signal=1000.0000
[P4-G8C] stage=3 epoch=3 train_loss=0.4103 val_signal=1000.0000
[P4-G8C] stage=3 epoch=4 train_loss=0.4535 val_signal=1000.0000
[P4-G8C] stage=3 epoch=5 train_loss=0.3908 val_signal=1000.0000
[P4-G8C] stage=3 epoch=6 train_loss=0.4236 val_signal=1000.0000
[P4-G8C] stage=3 epoch=7 train_loss=0.4466 val_signal=1000.0000
[P4-G8C] stage=4 epoch=0 train_loss=0.5403 val_signal=1000.0000
[P4-G8C] stage=4 epoch=1 train_loss=0.2445 val_signal=1000.0000
[P4-G8C] stage=4 epoch=2 train_loss=0.4843 val_signal=1000.0000
[P4-G8C] stage=4 epoch=3 train_loss=0.4499 val_signal=1000.0000
[P4-G8C] stage=4 epoch=4 train_loss=0.6177 val_signal=1000.0000
[P4-G8C] stage=4 epoch=5 train_loss=0.4871 val_signal=1000.0000
[P4-G8C] stage=4 epoch=6 train_loss=0.5387 val_signal=1000.0000
[P4-G8C] stage=4 epoch=7 train_loss=0.6974 val_signal=1000.0000
[P4-G8C] stage=1 epoch=0 train_loss=2.8485 val_signal=1000.0000
[P4-G8C] stage=1 epoch=1 train_loss=2.6725 val_signal=1000.0000
[P4-G8C] stage=1 epoch=2 train_loss=2.2154 val_signal=1000.0000
[P4-G8C] stage=1 epoch=3 train_loss=2.2171 val_signal=1000.0000
[P4-G8C] stage=1 epoch=4 train_loss=1.7687 val_signal=1000.0000
[P4-G8C] stage=1 epoch=5 train_loss=1.7507 val_signal=1000.0000
[P4-G8C] stage=1 epoch=6 train_loss=1.9113 val_signal=1000.0000
[P4-G8C] stage=1 epoch=7 train_loss=1.8051 val_signal=1000.0000
[P4-G8C] stage=2 epoch=0 train_loss=1.9804 val_signal=1000.0000
[P4-G8C] stage=2 epoch=1 train_loss=1.3892 val_signal=1000.0000
[P4-G8C] stage=2 epoch=2 train_loss=1.5437 val_signal=1000.0000
[P4-G8C] stage=2 epoch=3 train_loss=1.6090 val_signal=1000.0000
[P4-G8C] stage=2 epoch=4 train_loss=1.3577 val_signal=1000.0000
[P4-G8C] stage=2 epoch=5 train_loss=1.2233 val_signal=1000.0000
[P4-G8C] stage=2 epoch=6 train_loss=1.6193 val_signal=1000.0000
[P4-G8C] stage=2 epoch=7 train_loss=1.5629 val_signal=1000.0000
[P4-G8C] stage=3 epoch=0 train_loss=0.4125 val_signal=1000.0000
[P4-G8C] stage=3 epoch=1 train_loss=0.4094 val_signal=1000.0000
[P4-G8C] stage=3 epoch=2 train_loss=0.3715 val_signal=1000.0000
[P4-G8C] stage=3 epoch=3 train_loss=0.3883 val_signal=1000.0000
[P4-G8C] stage=3 epoch=4 train_loss=0.3675 val_signal=1000.0000
[P4-G8C] stage=3 epoch=5 train_loss=0.4487 val_signal=1000.0000
[P4-G8C] stage=3 epoch=6 train_loss=0.3888 val_signal=1000.0000
[P4-G8C] stage=3 epoch=7 train_loss=0.3633 val_signal=1000.0000
[P4-G8C] stage=4 epoch=0 train_loss=0.3632 val_signal=1000.0000
[P4-G8C] stage=4 epoch=1 train_loss=0.3597 val_signal=1000.0000
[P4-G8C] stage=4 epoch=2 train_loss=0.5196 val_signal=1000.0000
[P4-G8C] stage=4 epoch=3 train_loss=0.3256 val_signal=1000.0000
[P4-G8C] stage=4 epoch=4 train_loss=0.5798 val_signal=1000.0000
[P4-G8C] stage=4 epoch=5 train_loss=0.8494 val_signal=1000.0000
[P4-G8C] stage=4 epoch=6 train_loss=0.3308 val_signal=1000.0000
[P4-G8C] stage=4 epoch=7 train_loss=0.3842 val_signal=1000.0000
/home/cunyuliu/pc_cng_research/chem_negative_sampling/pc_cng/p4_g8c_learned_structured_proposal.py:1123: DeprecationWarning: `trapz` is deprecated. Use `trapezoid` instead, or one of the numerical integration functions in `scipy.integrate`.
  return float(np.trapz(precision, recall))

[P4-G8C] verdict=NO_GO
[P4-G8C] utility_delta=+0.0000 CI[+0.0000,+0.0000]
[P4-G8C] Pareto-dominates-rule=False coverage_matched=False
[P4-G8C] outputs in results/p4_learned_proposal_full
